BIN,country_name,card_brand,card_type,card_level,issuer_name,country_code2,is_valid
400096,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST SERVICE CREDIT UNION,US,False
400097,UNITED STATES,VISA,CREDIT,,,US,False
400099,UNITED STATES,VISA,CREDIT,,,US,False
400100,UNITED STATES,VISA,CREDIT,BUSINESS,SRP FEDERAL CREDIT UNION,US,False
400101,UNITED STATES,VISA,DEBIT,BUSINESS,COMMERCIAL BANK OF CALIFORNIA,US,False
400105,UNITED STATES,VISA,DEBIT,BUSINESS,TEXAS BANK AND TRUST COMPANY,US,True
400108,UNITED STATES,VISA,CREDIT,,,US,False
400110,UNITED STATES,VISA,CREDIT,,FIFTH THIRD BANK,US,False
400111,UNITED STATES,VISA,CREDIT,,FIFTH THIRD BANK,US,False
400113,UNITED STATES,VISA,DEBIT,CLASSIC,THE PAULS VALLEY NATIONAL BANK,US,True
400114,UNITED STATES,VISA,DEBIT,CLASSIC,FIFTH THIRD BANK,US,False
400116,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST FINANCIAL BANK,US,False
400117,UNITED STATES,VISA,CREDIT,,,US,False
400118,UNITED STATES,VISA,CREDIT,,,US,True
400119,UNITED STATES,VISA,DEBIT,BUSINESS,,US,False
400120,UNITED STATES,VISA,CREDIT,BUSINESS,BANK OF THE JAMES,US,False
400122,UNITED STATES,VISA,DEBIT,CLASSIC,THE HOME TRUST &amp; SAVINGS BANK,US,True
400123,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"PNC BANK, NATIONAL ASSOCIATION",US,False
400125,UNITED STATES,VISA,CREDIT,TRADITIONAL,CITIZENS&#039; BANK &amp; TRUST CO.,US,True
400127,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"TBBK CARD SERVICES, INC.",US,False
400134,UNITED STATES,VISA,CREDIT,,,US,False
400135,UNITED STATES,VISA,CREDIT,,"PLUS SYSTEM, INC.",US,False
400137,UNITED STATES,VISA,CREDIT,BUSINESS,KNOXVILLE TVA EMPLOYEES CREDIT UNION,US,True
400140,UNITED STATES,VISA,DEBIT,BUSINESS,FIRST COMMUNITY BANK OF THE OZARKS,US,False
400143,UNITED STATES,VISA,CREDIT,,"ITS, INC.",US,False
400144,UNITED STATES,VISA,CREDIT,,,US,False
400145,UNITED STATES,VISA,DEBIT,BUSINESS,THE DONLEY COUNTY STATE BANK,US,True
400146,UNITED STATES,VISA,DEBIT,CLASSIC,"TD BANK, NATIONAL ASSOCIATION",US,False
400147,UNITED STATES,VISA,CREDIT,TRADITIONAL,CASEBINE COMMUNITY CREDIT UNION,US,True
400151,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400157,UNITED STATES,VISA,DEBIT,BUSINESS,CORE BANK,US,False
400158,UNITED STATES,VISA,DEBIT,CLASSIC,THE SOUTHERN CREDIT UNION,US,True
400161,UNITED STATES,VISA,CREDIT,,,US,False
400164,UNITED STATES,VISA,CREDIT,TRADITIONAL,SRP FEDERAL CREDIT UNION,US,False
400165,UNITED STATES,VISA,CREDIT,SIGNATURE,SRP FEDERAL CREDIT UNION,US,False
400166,UNITED STATES,VISA,DEBIT,CLASSIC,CORE CREDIT UNION,US,True
400167,UNITED STATES,VISA,DEBIT,CLASSIC,REPUBLIC BANK &amp; TRUST COMPANY,US,True
400169,UNITED STATES,VISA,CREDIT,CLASSIC,NEW HORIZONS CREDIT UNION,US,False
400172,UNITED STATES,VISA,CREDIT,TRADITIONAL,CITIZENS&#039; BANK &amp; TRUST CO.,US,True
400173,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400175,UNITED STATES,VISA,CREDIT,,"WELLS FARGO BANK, N.A.",US,False
400177,UNITED STATES,VISA,DEBIT,CLASSIC,ELGA CREDIT UNION,US,True
400179,UNITED STATES,VISA,CREDIT,SIGNATURE,"TCM BANK, NATIONAL ASSOCIATION",US,False
400180,UNITED STATES,VISA,DEBIT,BUSINESS,COMMUNITY STATE BANK,US,True
400181,UNITED STATES,VISA,CREDIT,BUSINESS,HERITAGE SOUTH CREDIT UNION,US,True
400183,UNITED STATES,VISA,DEBIT,BUSINESS,GREAT RIVER FEDERAL CREDIT UNION,US,True
400186,UNITED STATES,VISA,DEBIT,BUSINESS,THE PAULS VALLEY NATIONAL BANK,US,False
400187,UNITED STATES,VISA,DEBIT,BUSINESS,ASPEN FEDERAL CREDIT UNION,US,False
400189,UNITED STATES,VISA,DEBIT,ELECTRON,PINNACLE FEDERAL CREDIT UNION,US,False
